EmployeeID,SSN_Synthetic,FirstName,LastName,FullName,Street,City,State,ZipCode,DateOfBirth,DateOfEntryService,Email,Rank,DutyStatus,BasePay,Bonus,IsAnomaly,AnomalyType
EMP10000,204-92-8929,Donald,Walker,Donald Walker,819 Johnson Course,East William,AK,74064,1977-01-07,1986-03-10,lrobinson@example.com,PV1,Active,1855.01,0.0,0,Normal
EMP10001,634-47-9460,Caitlin,Henderson,Caitlin Henderson,35116 Michael Key Suite 078,South Christianport,MP,82898,1969-11-19,1979-06-21,janetwilliams@example.org,PFC,Active,2084.38,249.67,0,Normal
EMP10002,705-72-3599,Dr.,Sharon James,Dr. Sharon James,525 Clark Grove Apt. 928,East Steven,KY,84387,1989-02-18,1993-09-27,megan03@example.org,CPT,TDY,4936.75,0.0,0,Normal
EMP10003,094-97-0772,Austin,Gentry,Austin Gentry,76724 John Points Suite 969,Coxberg,NY,65187,1990-11-28,1997-08-11,hernandezernest@example.net,SFC,Active,3439.1,0.0,0,Normal
EMP10004,270-65-2928,Janice,Carlson,Janice Carlson,480 Erin Plain Suite 514,Mooretown,VA,94830,1998-03-03,2007-12-30,harrellkenneth@example.net,SGM,Active,4493.29,0.0,0,Normal
EMP10005,081-11-7963,Brittany,Farmer,Brittany Farmer,570 Sarah Wells,Johnbury,FM,74865,2003-12-28,2007-02-18,spenceamanda@example.org,SPC,Active,2171.8,0.0,0,Normal
EMP10006,226-01-1164,Theresa,Martin,Theresa Martin,83465 Lam Mission Apt. 331,Andrewside,IN,77629,1978-03-07,1980-08-30,perezrebecca@example.com,2LT,TDY,3989.25,0.0,0,Normal
EMP10007,363-55-6736,Diana,Washington,Diana Washington,997 Kristen Valley,Leeville,TN,56999,1974-04-07,1979-07-20,dshields@example.net,SSG,Active,2927.82,0.0,0,Normal
EMP10008,101-07-8857,Nicholas,Mcbride,Nicholas Mcbride,33872 White Mountain,Port Sandra,NV,72633,1976-02-21,1979-01-12,novaksara@example.org,PV2,Active,1955.59,0.0,0,Normal
EMP10009,594-95-8884,John,Hancock,John Hancock,60647 Henderson Street,Mooreport,IL,08166,1980-10-04,1984-07-31,adkinsbrian@example.net,CSM,Active,5002.11,0.0,0,Normal
EMP10010,430-85-9563,Sarah,Moore,Sarah Moore,19136 Shelly Port,New Brooke,RI,11246,2001-11-20,2010-09-19,sarah35@example.org,MSG,Active,3897.92,0.0,0,Normal
EMP10011,721-39-8667,Michael,Evans,Michael Evans,07991 Amanda Parkways Suite 251,West Justin,NV,71701,1987-07-08,1996-09-09,contrerasangela@example.net,SFC,Active,3462.14,0.0,0,Normal
EMP10012,258-07-1513,Brandy,Wilson,Brandy Wilson,824 Jacobs Stravenue,Jamesview,NY,64533,1976-06-28,1981-01-21,ccalderon@example.org,PFC,TDY,2053.55,0.0,0,Normal
EMP10013,816-06-5863,Mandy,Green,Mandy Green,680 Charles Spurs Apt. 805,South David,ME,48296,1992-02-21,1997-08-31,evelynestrada@example.com,SGM,Leave,4637.38,0.0,0,Normal
EMP10014,392-05-7712,Nicole,Frost,Nicole Frost,26025 Pham Way,West Erik,UT,14669,1997-02-04,2000-09-11,jamessellers@example.com,PFC,TDY,2149.0,0.0,0,Normal
EMP10015,183-75-4350,Shelby,Walker,Shelby Walker,5414 May Locks,Sheilaville,FM,34738,1990-03-18,1997-01-04,rodriguezryan@example.net,CSM,Leave,5198.4,0.0,0,Normal
EMP10016,520-40-6692,William,Wilson,William Wilson,0608 Michael Cliff,Cindyville,VA,39864,1990-10-15,1993-10-21,richard48@example.org,PV1,Leave,1925.49,0.0,0,Normal
EMP10017,453-87-3502,Todd,Byrd,Todd Byrd,946 Kevin Fords,Floydmouth,NH,58406,1982-07-01,1991-03-08,yleon@example.net,SPC,Active,2219.18,0.0,0,Normal
EMP10018,250-19-0091,Diane,Beck,Diane Beck,34332 Brandon Mountains Apt. 769,Lake Heather,NM,52884,1980-12-27,1989-03-11,osbornejeffery@example.net,PV1,Active,1976.96,0.0,0,Normal
EMP10019,762-61-7374,Justin,Lowery,Justin Lowery,2788 Dodson Mills,Rivasside,NV,21362,2004-09-08,2007-12-08,karen48@example.com,SSG,Active,3081.49,0.0,0,Normal
EMP10020,212-54-6382,Billy,Mitchell,Billy Mitchell,5812 Jesse Square Apt. 316,Riveramouth,MT,08662,1985-09-21,1993-05-02,gateskathy@example.com,MSG,TDY,4148.21,0.0,0,Normal
EMP10021,638-69-0442,Guy,Molina,Guy Molina,893 Robinson Mews Suite 065,Ramseymouth,PW,17229,2001-11-25,2010-09-23,qvargas@example.org,PFC,TDY,2152.5,0.0,0,Normal
EMP10022,482-03-8838,Brandy,Murray,Brandy Murray,6537 Rogers Light,Karenchester,KS,11236,1975-02-26,1977-02-27,cookemichael@example.net,SFC,Active,3355.93,0.0,0,Normal
EMP10023,172-78-9950,Marissa,Webster,Marissa Webster,09232 Caldwell Port,South Holly,WI,48852,1974-02-10,1978-10-17,stricklandfrank@example.com,PV2,Leave,2089.39,186.17,0,Normal
EMP10024,350-02-6883,Tanya,Johnston,Tanya Johnston,3193 Heidi Hollow Apt. 905,Stanleyland,NY,85375,1976-10-18,1979-07-28,xgarcia@example.net,CPL,Active,2331.95,0.0,0,Normal
EMP10025,584-79-6210,Jessica,Gross,Jessica Gross,877 Petersen Ramp Suite 531,Nicolebury,WV,61411,2000-09-22,2005-09-11,anthony52@example.com,CPT,Active,5178.62,0.0,0,Normal
